2022-11-10 22:31:07,169 [main] INFO  marytts.PStream Gradient GV optimization for feature: (16)  number of iterations=9
2022-11-10 22:31:07,171 [main] INFO  marytts.PStream Gradient GV optimization for feature: (17)  number of iterations=9
2022-11-10 22:31:07,174 [main] INFO  marytts.PStream Gradient GV optimization for feature: (18)  number of iterations=17
2022-11-10 22:31:07,177 [main] INFO  marytts.PStream Gradient GV optimization for feature: (19)  number of iterations=11
2022-11-10 22:31:07,180 [main] INFO  marytts.PStream Gradient GV optimization for feature: (20)  number of iterations=9
2022-11-10 22:31:07,185 [main] INFO  marytts.PStream Gradient GV optimization for feature: (21)  number of iterations=50
2022-11-10 22:31:07,187 [main] INFO  marytts.PStream Gradient GV optimization for feature: (22)  number of iterations=3
2022-11-10 22:31:07,188 [main] INFO  marytts.PStream Gradient GV optimization for feature: (23)  number of iterations=15
2022-11-10 22:31:07,191 [main] INFO  marytts.PStream Gradient GV optimization for feature: (24)  number of iterations=3
2022-11-10 22:31:07,191 [main] INFO  marytts.ParameterGeneration Using f0 from maryXML acoustparams
2022-11-10 22:31:07,196 [main] INFO  marytts.PStream Global variance optimization
2022-11-10 22:31:07,199 [main] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=27
2022-11-10 22:31:07,201 [main] INFO  marytts.PStream Gradient GV optimization for feature: (1)  number of iterations=2
2022-11-10 22:31:07,204 [main] INFO  marytts.PStream Gradient GV optimization for feature: (2)  number of iterations=15
2022-11-10 22:31:07,210 [main] INFO  marytts.PStream Gradient GV optimization for feature: (3)  number of iterations=58
2022-11-10 22:31:07,216 [main] INFO  marytts.PStream Gradient GV optimization for feature: (4)  number of iterations=43
2022-11-10 22:31:07,559 [main] INFO  marytts.R 1 Request processed in 573 ms.
2022-11-10 22:31:07,559 [main] INFO  marytts.R 1    TextToMaryXML took 1 ms
2022-11-10 22:31:07,559 [main] INFO  marytts.R 1    JTokeniser took 4 ms
2022-11-10 22:31:07,559 [main] INFO  marytts.R 1    Preprocess took 7 ms
2022-11-10 22:31:07,560 [main] INFO  marytts.R 1    OpenNLPPosTagger took 9 ms
2022-11-10 22:31:07,560 [main] INFO  marytts.R 1    JPhonemiser took 3 ms
2022-11-10 22:31:07,560 [main] INFO  marytts.R 1    Prosody took 6 ms
2022-11-10 22:31:07,560 [main] INFO  marytts.R 1    PronunciationModel took 2 ms
2022-11-10 22:31:07,560 [main] INFO  marytts.R 1    AcousticModeller took 42 ms
2022-11-10 22:31:07,560 [main] INFO  marytts.R 1    Synthesis took 497 ms
2022-11-10 22:31:10,504 [main] INFO  marytts.R 1 New request (input type "TEXT", output type "AUDIO", voice "cmu-rms-hsmm", effect "Stadium(amount:150.0)", audio "WAVE")
2022-11-10 22:31:10,504 [main] INFO  marytts.R 1 Handling request using the following modules:
2022-11-10 22:31:10,504 [main] INFO  marytts.R 1 - TextToMaryXML (marytts.modules.TextToMaryXML)
2022-11-10 22:31:10,505 [main] INFO  marytts.R 1 Next module: TextToMaryXML
2022-11-10 22:31:10,506 [main] INFO  marytts.R 1 Handling request using the following modules:
2022-11-10 22:31:10,506 [main] INFO  marytts.R 1 - JTokeniser (marytts.language.en.JTokeniser)
2022-11-10 22:31:10,506 [main] INFO  marytts.R 1 - Preprocess (marytts.language.en.Preprocess)
2022-11-10 22:31:10,506 [main] INFO  marytts.R 1 - OpenNLPPosTagger (marytts.modules.OpenNLPPosTagger)
2022-11-10 22:31:10,506 [main] INFO  marytts.R 1 - JPhonemiser (marytts.modules.JPhonemiser)
2022-11-10 22:31:10,506 [main] INFO  marytts.R 1 - Prosody (marytts.language.en.Prosody)
2022-11-10 22:31:10,506 [main] INFO  marytts.R 1 - PronunciationModel (marytts.language.en.PronunciationModel)
2022-11-10 22:31:10,506 [main] INFO  marytts.R 1 - AcousticModeller (marytts.modules.AcousticModeller)
2022-11-10 22:31:10,506 [main] INFO  marytts.R 1 - Synthesis (marytts.modules.Synthesis)
2022-11-10 22:31:10,506 [main] INFO  marytts.R 1 Next module: JTokeniser
2022-11-10 22:31:10,507 [main] INFO  marytts.R 1 Next module: Preprocess
2022-11-10 22:31:10,512 [main] INFO  marytts.R 1 Next module: OpenNLPPosTagger
2022-11-10 22:31:10,514 [main] INFO  marytts.R 1 Next module: JPhonemiser
2022-11-10 22:31:10,516 [main] INFO  marytts.R 1 Next module: Prosody
2022-11-10 22:31:10,518 [main] INFO  marytts.R 1 Next module: PronunciationModel
2022-11-10 22:31:10,519 [main] INFO  marytts.R 1 Next module: AcousticModeller
2022-11-10 22:31:10,526 [main] INFO  marytts.ParameterGeneration Parameter generation for LF0: 
2022-11-10 22:31:10,526 [main] INFO  marytts.PStream Global variance optimization
2022-11-10 22:31:10,527 [main] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=6
2022-11-10 22:31:10,528 [main] INFO  marytts.R 1 Next module: Synthesis
2022-11-10 22:31:10,529 [main] INFO  marytts.HMMSynthesizer Synthesizing one sentence.
2022-11-10 22:31:10,530 [main] INFO  marytts.HTSEngine Using prosody from acoustparams.
2022-11-10 22:31:10,533 [main] INFO  marytts.HTSEngine Number of models in sentence numModel=6  Total number of states numState=30
2022-11-10 22:31:10,533 [main] INFO  marytts.HTSEngine Total number of frames=221  Number of voiced frames=115
2022-11-10 22:31:10,540 [main] INFO  marytts.ParameterGeneration Parameter generation for MGC: 
2022-11-10 22:31:10,540 [main] INFO  marytts.PStream Global variance optimization
2022-11-10 22:31:10,544 [main] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=26
2022-11-10 22:31:10,551 [main] INFO  marytts.PStream Gradient GV optimization for feature: (1)  number of iterations=55
2022-11-10 22:31:10,554 [main] INFO  marytts.PStream Gradient GV optimization for feature: (2)  number of iterations=35
2022-11-10 22:31:10,556 [main] INFO  marytts.PStream Gradient GV optimization for feature: (3)  number of iterations=20
